street_name,street_type,street_quad
NOBLE,RD,NW
OKI,DR,NW
SAGE HILL,RI,NW
NORQUAY,CO,NW
HUNTBOURNE,GA,NE
DOUGLAS RANGE,RD,SE
SHAWVILLE,GA,SE
35A,ST,SW
MOUNT ROYAL,CI,SW
SAGE HILL,ST,NW
LA CAILLE,PL,SW
116,ST,SE
MARTINDALE,GA,NE
33,AV,SE
ULYSSES,ST,NW
NINA,GD,NE
GARRISON,GA,SW
LAKE SIMCOE,RI,SE
MAITLAND,GA,NE
STONEHILL,GA,NE
LAYCOCK,DR,NE
EVERRIDGE,MR,SW
CRANSTON,BV,SE
INVERNESS,GA,SE
GLENWAY,PL,SW
PEACEKEEPERS,GA,SW
23B,ST,NE
EVERCREEK BLUFFS,ME,SW
RANCHLANDS,BA,NW
BEDDINGTON,TR,NW
MUSKOKA,DR,NE
96,AV,NW
SPRUCE MEADOWS,TR,SE
COUNTRY VILLAGE,LI,NE
SAGE HILL,VW,NW
PASKAPOO,DR,SW
67,ST,NE
SOUTHDALE,BA,SW
SAGE HILL,GA,NW
WESTWARD,AV,SW
141,AV,SE
COUNTRY HILLS,SQ,NW
128,AV,NW
SHEPARD,PL,SE
EVANSBOROUGH,MR,NW
STRATHLEA,GR,SW
80,ST,SE
PUMP HILL,GA,SW
KINCORA,BV,NW
PARKRIDGE,VW,SE
75,ST,SW
WAINWRIGHT,PL,SE
WESTBROOK,PZ,SW
WHITNEL,CO,NE
59,AV,SW
TEMPLEBY,LN,NE
SOUTHLAND,CI,SW
WINTER,HT,SW
HAWKSBROW,PT,NW
163,AV,SE
SHORT,RD,NW
SPIRIT RIDGE,GA,SW
KOOTENAY,ST,SW
148,AV,SW
TUSCARORA,PT,NW
MCPHERSON,SQ,NE
VALLEY POINTE,GR,NW
THORNCREST,RD,NE
SIGNATURE,RI,SW
HOLY CROSS,LN,SW
CITADEL MEADOW,PT,NW
SALINA,ST,SW
50,AV,NE
MCKENZIE TOWNE,CM,SE
HOSPITAL,DR,NW
CRANFORD,ST,SE
STRATHCONA,BV,SW
PORTLAND,ST,SE
HORIZON VIEW,RD,SW
LYNN,RD,SE
CLEVELAND,CR,SE
176,AV,NE
SILVERADO CREST,PA,SW
WESTPARK,LI,SW
ASPENMONT,HT,SW
MCCALL,WY,NE
HURST,RD,SE
MCKENZIE TOWNE,RO,SE
DARTMOUTH,RD,SE
WOODVIEW,BA,SW
LAKE ASPEN,RD,SE
PANAMOUNT,GA,NW
MOOR,ST,SW
WESTBROOK,GR,SW
COSGROVE,ST,NW
51,AV,NW
4A,ST,SE
114,ST,SE
SPRINGBOROUGH,CO,SW
51,ST,NW
BAGOT,AV,SW
76,AV,NE
21A,AV,SE
VAUGHAN,ST,NE
SHAWBROOKE,BA,SW
WOODMEADOW,CL,SW
149,ST,NW
VETERAN'S,PL,NW
TEMPLEVIEW,GA,NE
AUBURN BAY,GA,SE
SILVER SPRINGS,GA,NW
BEDDINGTON,BV,NE
VALLEY RIDGE,MR,NW
TIMBERLINE,WY,SW
MONTGOMERY,BV,NW
BEDRIDGE,PL,NE
FISHER,RD,SE
CHAPARRAL RIDGE,PA,SE
MOUNT ROYAL,GA,SW
PATTERSON,BA,SW
ANDERSON STATION,WY,SW
RUNDLEHILL,PL,NE
COUNTRY VILLAGE,WY,NE
WESTPARK,CM,SW
64,ST,SE
COTTAGE,ST,NW
62,ST,NW
150,AV,SE
60,AV,SW
QUARRY PARK,RD,SE
AVIATION,RD,NE
MCKENZIE MEADOWS,DR,SE
MYSTIC RIDGE,GA,SW
SETON,CR,SE
59,AV,SE
SKYVIEW,LI,NE
SPRUCE,CE,SW
SPRING WILLOW,CO,SW
FORZANI,WY,NW
16A,AV,SE
108,AV,SE
20,ST,NE
EVERCREEK BLUFFS,GA,SW
STRATHLORNE,BA,SW
EVANSCREST,PA,NW
KINCORA,GA,NW
COLLICUTT,ST,SW
VEGAS,WY,NW
LAKE PLACID,RI,SE
HAWKFIELD,WY,NW
SANTA MARIA,GD,NE
LAVAL,AV,SW
SILVERTHORN,RD,NW
MOORCROFT,RD,SW
RESEARCH,WY,NW
UNDERHILL,PL,NW
SILVER CREEK,PL,NW
152,AV,SE
MARKET,ST,SE
TUSCARORA,MR,NW
MURRAY,PL,NE
VANDYKE,RD,NW
PROMINENCE,RI,SW
122,AV,SE
LAKE SIMCOE,CO,SE
EDWORTHY,ST,SW
REDSTONE,PL,NE
104,AV,NE
ARBOUR VISTA,HL,NW
148,AV,SE
AURORA PARK,LI,NE
CHAPARRAL,HE,SE
44,ST,NW
82,AV,SE
WOOD WILLOW,PL,SW
34A,ST,SE
DALCASTLE,LI,NW
SIGNAL HILL,TC,SW
154,AV,SE
FREEPORT,WY,NE
HAWKFORD,GA,NW
COUNTRY VILLAGE,CV,NE
CORAL,CV,NE
SETON,LI,SE
QUARRY,PT,SE
FREEPORT,LD,NE
BRADLEY,AV,SW
CORNELL,PL,NW
RESEARCH,PL,NW
ROCKY RIDGE,PL,NW
149,AV,SE
BEDFORD,RD,NE
RUNDLECAIRN,PL,NE
LAKE PLACID,RD,SE
PARK,AV,SW
CYPRUS,GR,SW
97,AV,SW
149A,AV,SE
COVENTRY HILLS,BV,NE
VEINER,ST,NE
HUNTERHORN,RD,NE
CROWFOOT,RD,NW
118,AV,NE
ASPEN CLIFF,PL,SW
61,ST,SE
BROWNSEA,DR,NW
TUSCANY,CO,NW
FARRIN,AV,NW
HUNTRIDGE,GA,NE
RANCHVIEW,LI,NW
DEERWOOD,BA,SE
WOODMONT,PL,SW
DEERMONT,PL,SE
PINESTREAM,PL,NE
DALSBY,GA,NW
TRAFFORD,PL,NW
BEDDINGTON,BV,NW
FALSBRIDGE,GA,NE
LAKE CHRISTINA,RD,SE
BEDDINGTON,TR,NE
FALWORTH,BA,NE
SILVERTHORN,DR,NW
AMHERST,ST,SW
SCARPE,DR,SW
218,AV,SE
13A,ST,SE
ERLTON,RD,SW
HERITAGE MEADOWS,RD,SE
EVERGREEN,CV,SW
AVIATION,PA,NE
WILMER,RD,SE
SUDBURY,AV,SW
57,AV,SE
VALOUR,CI,SW
9A,ST,SW
MCLEAN,AV,SW
BRACEWOOD,PL,SW
OAKRIDGE,GA,SW
RUNDLESON,RD,NE
60,AV,SE
PATTERSON,PL,SW
CITADEL CREST,PL,NW
TALON,AV,SW
CAVANAUGH,PL,NW
SIENNA RIDGE,BA,SW
ABBERCOVE,DR,SE
DOUGLAS GLEN,VW,SE
SPRING WILLOW,PL,SW
GLACIER,PL,SW
FALCHURCH,PL,NE
SANDERLING,CO,NW
STAMPEDE,TR,SE
INVERNESS,RD,SE
RIVERVIEW,BA,SE
HAWKDALE,GA,NW
WILLOWCREST,RD,SE
BLACKTHORN,BA,NE
COVERTON,CO,NE
SIGNATURE,PL,SW
11A,ST,SE
GARDEN,LN,SW
VERMILLION,ST,NE
SHERIFF KING,RD,SE
53,AV,NE
ULSTER,RD,NW
116,AV,SE
WEST CAMPUS,PL,NW
CHRISTIE,RD,NW
GROSVENOR,PL,SW
53,ST,NE
DOUGLAS PARK,ME,SE
MAHOGANY,GA,SE
SHAWCLIFFE,RD,SW
MOUNTAIN VIEW,RD,NW
HOLLY,DR,SE
NEW,PL,SE
CEDARILLE,PL,SW
KOVITZ,AV,NW
PEACEKEEPERS,DR,SW
LAYCOCK,DR,NW
MOUNTVIEW,CR,NE
128,AV,SE
45,ST,NW
CRANLEIGH,HT,SE
SUN VALLEY,BV,SE
TUSCANY SUMMIT,GV,NW
HOLDEN,PL,SW
MCKENZIE LAKE,GA,SE
HIGHFIELD,AV,SE
CHRISTIE BRIAR,LN,SW
SADDLESTONE,GA,NE
PINEHILL,PL,NE
ROYAL BIRCH,CL,NW
PUMP HILL,DR,SW
SOMME,LN,SW
PATINA,RI,SW
BISON,PH,SE
DISCOVERY RIDGE,CL,SW
91,AV,SE
PRESTWICK,GR,SE
TARAVISTA,ME,NE
CASTLEDALE,GA,NE
SMED,LN,SE
HAWKS,PL,NW
BAY WOOD,PL,SW
SHAWVILLE,WY,SE
CHATHAM,PL,NW
60,ST,NW
SCURFIELD,WY,NW
ELKTON,CL,SW
STRATHAVEN,ME,SW
CRESTRIDGE,ME,SW
COVEPARK,CO,NE
RIVERCREST,WY,SE
GENERAL,AV,NE
PALISCLIFFE,RD,SW
GATEWAY,PL,SW
35B,ST,SE
LAKE TWINTREE,BA,SE
LEGSBY,RD,SW
STRATTON,PL,SW
CANNA,BA,SW
WESTMINSTER,PL,SW
CARDELL,ST,NE
42A,ST,SE
SOUTHDALE,PL,SW
50,ST,NW
LACHINE,CO,SW
CITYSCAPE,LI,NE
75,AV,SE
MCKINLEY,BA,SE
CITADEL ESTATES,PL,NW
2A,ST,SE
44,ST,NE
PANAMOUNT,ME,NW
RANCHRIDGE,PL,NW
PRESTWICK,RD,SE
SIGNAL RIDGE,CO,SW
115,AV,NE
CAEN,AV,SW
HUNTHAM,GA,NE
DEERBOW,PL,SE
DEERBROOK,BA,SE
EDENDALE,PL,NW
SCENIC ACRES,BV,NW
BAY CROFT,RD,SW
53,AV,NW
BONNYBROOK,PL,SE
SANDSTONE,HL,NW
SAGE HILL,MR,NW
PROMENADE,PA,SE
SIENNA PARK,CO,SW
DANLOE,ST,NE
VERONICA,PL,NW
49,AV,SE
KENSINGTON,CL,NW
WILLOWISP,RD,SE
CORAL SHORES,CV,NE
MARQUIS,LI,SE
SHAWVILLE,RD,SE
MANNING,RD,NE
226,AV,SE
FISHER,ST,SE
108,AV,NE
CASTLEBURY,CO,NE
STRATTON,PA,SW
162,AV,SE
CRANBERRY,RD,SE
PRINCETON,WY,SW
CITYSCAPE,MR,NE
CHARLES,AV,SW
32,AV,SE
DEERVIEW,PL,SE
VAL GARDENA,PL,SW
POINT MCKAY,CR,NW
138,AV,SW
CABOT,ST,SW
CHRISTIE ESTATE,GV,SW
BEACHAM,CL,NW
NEW BRIGHTON,BA,SE
100,ST,NE
SILVER VALLEY,BA,NW
DEERBROOK,ME,SE
DEERCROSS,PL,SE
RICHARDSON,WY,SW
RAILWAY,ST,SE
EDGEHILL,ME,NW
HAWKS,CO,NW
FOREST,GR,SE
KINLEA,BA,NW
43,AV,SE
SKYVIEW SPRINGS,CI,NE
EVERRIDGE,CM,SW
COUNTRY HILLS,RD,NW
MARPOLE,PL,NE
DOVERTHORN,BA,SE
6A,ST,SE
CREEK,RD,NE
PATTON,PL,SW
SUNMOUNT,RI,SE
DEERCROSS,WY,SE
MIDPARK,RI,SE
WALDEN,BA,SE
MARTINGLEN,PL,NE
CASTLERIDGE,BV,NE
HAWKSTONE,CO,NW
COPPERPOND,LI,SE
SOMME,WY,SW
SUNMOUNT,CO,SE
DOUGLAS WOODS,BA,SE
148,AV,NE
SANDHURST,AV,SW
SUNWOOD,PA,SE
MAPLE,PL,SW
GLENMERE,RD,SW
38,AV,NW
BOW VALLEY,DR,NE
MT ALBERTA,BA,SE
95,ST,NW
MILLVIEW,GA,SW
FALTON,CO,NE
153,AV,SE
NEW BOW,LN,SE
UNGAVA,RD,NW
43A,ST,SE
ROYAL OAK,GA,NW
SONORA,AV,SW
HUNTSTROM,PL,NE
DISCOVERY,RI,SW
VANSTONE,RD,NW
SAVANNA,CM,NE
CHANDLER,RD,NW
CRANARCH,BA,SE
LAKE ONTARIO,RD,SE
SHERWOOD,CL,NW
